Gene name (primary),Gene names (all)
NRIP1,NRIP1
MOB1B,MOB1B/MOB4A/MOBKL1A
FAM169A,FAM169A/KIAA0888
CASP7,CASP7/MCH3
GTF3A,GTF3A
SIRT7,SIR2L7/SIRT7
ZCCHC17,HSPC243/HSPC251/LDC4/PS1D/ZCCHC17
MBD3,hCG_22692/MBD3
ZNF326,hCG_22859/ZIRD/ZNF326
CACYBP,CACYBP/PNAS-107/S100A6BP/SIP
GPI,GPI
ZNF3,KOX25/ZNF3
YWHAG,YWHAG
NUPL2,CG1/NUPL2
NAPA,NAPA/SNAPA
C9orf85,C9orf85
MAFK,MAFK
PTEN,MMAC1/PTEN/TEP1
LYAR,LYAR/PNAS-5
ZNF446,ZKSCAN20/ZNF446
RPL10,DXS648E/QM/RPL10
EIF1,EIF1/SUI1
TAF8,TAF8/TAFII43/TBN
DCAF1,DCAF1/KIAA0800/RIP/VPRBP
NCOA6,AIB3/KIAA0181/NCOA6/RAP250/TRBP
CCDC71L,C7orf74/CCDC71L
THOC5,C22orf19/KIAA0983/THOC5
FAM104A,FAM104A
ARPP19,ARPP19
PCBP2,PCBP2
UBE2M,UBC12/UBE2M
AKAP8L,AKAP8L/hCG_36782/HRIHFB2018/NAKAP/NAKAP95
SMN1,/SMN/SMN1/SMN2/SMNC/SMNT
AJUBA,AJUBA/JUB
PDE3A,PDE3A
MIF,GLIF/MIF/MMIF
NEMF,NEMF/SDCCAG1
YY1AP1,DKFZp686J14104/HCCA2/YY1AP/YY1AP1
LIN9,BARA/LIN9/TGS
PLIN3,M6PRBP1/PLIN3/TIP47
PDLIM1,CLIM1/CLP36/PDLIM1
KDM3A,JHDM2A/JMJD1/JMJD1A/KDM3A/KIAA0742/TSGA
EIF5B,EIF5B/IF2/KIAA0741
PRPF18,HPRP18/PRPF18
PYGL,PYGL
RBBP5,RBBP5/RBQ3
RPP25,RPP25
RIOX2,MDIG/MINA/MINA53/NO52/RIOX2
ZMYM5,HSPC050/ZMYM5/ZNF198L1/ZNF237
CHCHD2,AAG10/C7orf17/CHCHD2
ARPC5,ARC16/ARPC5
ZNF267,ZNF267
ANXA1,ANX1/ANXA1/LPC1
EIF1AX,EIF1A/EIF1AX/EIF4C
TWISTNB,TWISTNB
USP49,USP49
EYA4,EYA4
RBM25,RBM25/RNPC7
AGFG1,AGFG1/HRB/RAB/RIP
LDHA,LDHA/PIG19
UTP20,DRIM/UTP20
NCBP1,CBP80/NCBP/NCBP1
ZDBF2,KIAA1571/ZDBF2
DEPDC1,DEPDC1/DEPDC1A
ESS2,DGCR13/DGCR14/DGSH/DGSI/ES2/ESS2
PPP2R5C,KIAA0044/PPP2R5C
PACS1,KIAA1175/PACS1
STRAP,MAWD/STRAP/UNRIP
NCBP2,CBP20/hCG_40296/NCBP2/PIG55
CIZ1,CIZ1/LSFR1/NP94/ZNF356
ELF4,ELF4/ELFR/MEF
HADHA,HADH/HADHA
RSL24D1,C15orf15/My024/RPL24L/RSL24D1
RPA3,hCG_17407/REPA3/RPA14/RPA3
ZKSCAN1,KOX18/ZKSCAN1/ZNF139/ZNF36
NOL9,NOL9
HBP1,HBP1
ASPSCR1,ASPL/ASPSCR1/RCC17/TUG/UBXD9/UBXN9
ING5,ING5
SPART,KIAA0610/SPART/SPG20/TAHCCP1
CEP350,CAP350/CEP350/GM133/KIAA0480
TBCA,TBCA
MCM3AP,GANP/KIAA0572/MAP80/MCM3AP
TARDBP,hCG_2005583/TARDBP/TDP43
ZNF385A,HZF/RZF/ZNF385/ZNF385A
EIF3D,EIF3D/EIF3S7
UBA1,A1S9T/UBA1/UBE1
CWF19L2,CWF19L2
CDC14B,CDC14B
MDH1,MDH1/MDHA
SMC5,KIAA0594/SMC5/SMC5L1
RANBP2,NUP358/RANBP2
BHLHE40,BHLHB2/BHLHE40/DEC1/SHARP2/STRA13
NEPRO,C3orf17/NEPRO
PAXX,C9orf142/PAXX/XLS
CCT5,CCT5/CCTE/KIAA0098
TBX1,TBX1
SRRT,ARS2/ASR2/SRRT
RPS27,MPS1/RPS27
UQCRC1,UQCRC1
RPL7L1,RPL7L1
KATNA1,KATNA1
ZNF696,ZNF696
INPP5J,INPP5J/PIB5PA/PIPP
DSN1,C20orf172/DSN1/MIS13
EEF2,EEF2/EF2
RPS16,hCG_43353/RPS16
SFMBT1,RU1/SFMBT1
EGR1,EGR1/KROX24/ZNF225
TPD52L2,TPD52L2
NAV2,HELAD1/KIAA1419/NAV2/POMFIL2/RAINB1/STEERIN2
SWI5,C9orf119/SAE3/SWI5
TRMT1L,C1orf25/MSTP070/TRM1L/TRMT1L
CAVIN3,CAVIN3/PRKCDBP/SRBC
GMNN,GMNN
SFSWAP,SFRS8/SFSWAP/SWAP
MYSM1,KIAA1915/MYSM1
SPECC1L,CYTSA/KIAA0376/SPECC1L
PHF23,hCG_42023/PHF23
ZXDC,ZXDC/ZXDL
KRT80,KB20/KRT80
ATXN7,ATXN7/hCG_22237/SCA7
POLD4,POLD4/POLDS
LDLRAP1,ARH/LDLRAP1
RPL22,hCG_2009685/RPL22
CSNK1A1,CSNK1A1
RPL27,RPL27
AK4,AK3/AK3L1/AK4/hCG_2031840
SMG1,ATX/KIAA0421/LIP/SMG1
NKAPD1,C11orf57/NKAPD1
S100A4,CAPL/MTS1/S100A4
TCEA3,TCEA3/TFIISH
CYCS,CYC/CYCS
ZNF19,KOX12/ZNF19
SOX7,SOX7
MDH2,hCG_1818102/MDH2
SRPRA,SRPR/SRPRA
ZNF414,ZNF414
MTUS1,ATBP/ATIP/GK1/KIAA1288/MTSG1/MTUS1
TNKS,PARP5A/PARPL/TIN1/TINF1/TNKS/TNKS1
ZNF623,hCG_31704/KIAA0628/ZNF623
SLU7,SLU7
TTC33,TTC33
NRDE2,C14orf102/NRDE2
NSFL1C,NSFL1C/UBXN2C
EPB41L4B,EHM2/EPB41L4B/LULU2
ANP32B,ANP32B/APRIL/PHAPI2
FAM83A,FAM83A/TSGP
GADD45GIP1,GADD45GIP1/MRPL59/PLINP1/PRG6
LIMK2,LIMK2
KDELC2,KDELC2/UNQ1904/PRO4350
GIGYF2,GIGYF2/KIAA0642/PERQ2/TNRC15
NSMCE4A,C10orf86/NSMCE4A/PP4762
RBM42,RBM42
PIN4,PIN4
ZMYM3,DXS6673E/KIAA0385/ZMYM3/ZNF261
ZNF484,ZNF484
HOXA5,HOX1C/HOXA5
CTTN,CTTN/EMS1
FLNB,FLN1L/FLN3/FLNB/TABP/TAP
MEOX1,MEOX1/MOX1
ZNF175,hCG_91953/ZNF175
KDM4D,JHDM3D/JMJD2D/KDM4D
AATF,AATF/CHE1/DED/HSPC277
RPS12,RPS12
NABP1,NABP1/OBFC2A/SSB2
RBAK,RBAK/ZNF769
HMMR,HMMR/IHABP/RHAMM
IPO11,IPO11/RANBP11
STK19,G11/RP1/STK19
PMP2,PMP2
H2AFJ,H2AFJ
TRAFD1,FLN29/TRAFD1
EPC2,EPC2
DHX9,DDX9/DHX9/LKP/NDH2
HSP90AA1,HSP90A/HSP90AA1/HSPC1/HSPCA
HSPA8,HSC70/HSP73/HSPA10/HSPA8
YBX3,CSDA/DBPA/YBX3
HOXD13,HOX4I/HOXD13
DKC1,DKC1/NOLA4
MAP2K3,MAP2K3/MEK3/MKK3/PRKMK3/SKK2
SNRPD1,SNRPD1
HOXC10,HOX3I/HOXC10
TAF2,CIF150/TAF2/TAF2B
MAFF,MAFF
SYMPK,SPK/SYMPK
ZNF593,ZNF593/ZT86
GAR1,GAR1/NOLA1
WTAP,hCG_34028/KIAA0105/WTAP
G3BP2,G3BP2/KIAA0660
CECR2,CECR2/KIAA1740
PARG,PARG
ZFX,ZFX
PARP12,hCG_1811077/PARP12/ZC3HDC1
PROSER2,C10orf47/hCG_1644926/PROSER2
HIST1H2BH,H2BFJ/HIST1H2BH
PTPRG,PTPG/PTPRG
SPEF2,KIAA1770/KPL2/SPEF2
GOLIM4,GIMPC/GOLIM4/GOLPH4/GPP130
HIST1H2AC,H2AFL/HIST1H2AC
GPC1,GPC1
PTPRF,LAR/PTPRF
B4GALT1,B4GALT1/GGTB2
CD55,CD55/CR/DAF/hCG_22206
ICAM1,ICAM1
MAN2A1,MAN2A1/MANA2
CHST13,CHST13
MCAM,MCAM/MUC18
CSF2RA,CSF2R/CSF2RA/CSF2RY
VASN,SLITL2/UNQ314/PRO357/PRO1282/VASN
HEG1,HEG1/KIAA1237
PLAU,PLAU
PEX3,PEX3
APPL1,APPL/APPL1/DIP13A/KIAA1428
ASCC3,ASCC3/HELIC1
CD59,CD59/MIC11/MIN1/MIN2/MIN3/MSK21
IGSF8,CD81P3/EWI2/IGSF8/KCT4
B3GAT3,B3GAT3/hCG_16017
PARP14,BAL2/KIAA1268/PARP14
HS2ST1,HS2ST/HS2ST1/KIAA0448
PLAUR,MO3/PLAUR/UPAR
GLG1,CFR1/ESL1/GLG1/hCG_1980142/MG160
SLC39A10,KIAA1265/SLC39A10/ZIP10
ERLEC1,C2orf30/ERLEC1/UNQ1878/PRO4321/XTP3TPB
PTPRS,PTPRS
MANEAL,MANEAL
SLC39A6,LIV1/SLC39A6/ZIP6
AGRN,AGRIN/AGRN
PON2,hCG_1640820/PON2
COLGALT1,COLGALT1/GLT25D1/PSEC0241
ROR2,hCG_1985325/NTRKR2/ROR2
EMC1,EMC1/KIAA0090/PSEC0263
EFNA1,EFNA1/EPLG1/LERK1/TNFAIP4
CNOT1,AD-005/CDC39/CNOT1/KIAA1007/NOT1
DSG2,CDHF5/DSG2
TMTC3,TMTC3
GOLM1,C9orf155/GOLM1/GOLPH2/PSEC0242/UNQ686/PRO1326
LGALS3BP,LGALS3BP/M2BP
PARD3,PAR3/PAR3A/PARD3
SIL1,SIL1/UNQ545/PRO836
RRAS,RRAS
AP1G1,ADTG/AP1G1/CLAPG1
PLXNB1,KIAA0407/PLXN5/PLXNB1/SEP
HLA-A,HLA/HLAA/HLA-A
SDF4,CAB45/hCG_19193/PSEC0034/SDF4
KIAA2013,KIAA2013
GALK1,GALK/GALK1
DNAJC16,DNAJC16/hCG_25372/KIAA0962
CEBPZ,CBF2/CEBPZ
YBX1,NSEP1/YB1/YBX1
NUCB1,NUC/NUCB1
KIRREL1,KIRREL/KIRREL1/NEPH1
CD99L2,CD99L2/MIC2L1/UNQ1964/PRO4486
STX4,STX4/STX4A
P4HA2,P4HA2/UNQ290/PRO330
EIF4A2,DDX2B/EIF4A2/EIF4F
DTX3L,BBAP/DTX3L
UBE2L3,UBCE7/UBCH7/UBE2L3
PLOD1,LLH/PLOD/PLOD1
RAB5C,RAB5C/RABL
PLOD2,PLOD2
B4GALT4,B4GALT4/UNQ552/PRO1109
CSPG4,CSPG4/MCSP
FUT11,FUT11
PTPRK,PTPK/PTPRK
LRPAP1,A2MRAP/LRPAP1
NOCT,CCR4/CCRN4L/hCG_1735627/NOC/NOCT
RPN2,RPN2
HNRNPH1,HNRNPH1/HNRPH/HNRPH1
FLG,FLG
PFDN2,HSPC231/PFD2/PFDN2
PSMC3IP,hCG_16948/HOP2/PSMC3IP/TBPIP
E9PLD3,
RELA,NFKB3/RELA
DLG1,DLG1
EZH2,EZH2/hCG_15497/KMT6
FOS,FOS/G0S7
IQGAP1,IQGAP1/KIAA0051
LGALS3,LGALS3/MAC2
PPP2R1A,PPP2R1A
BRCA2,BRCA2/FACD/FANCD1
ASS1,ASS/ASS1
IRS2,IRS2
RAD50,RAD50
TFRC,hCG_22086/TFRC
FOXO4,AFX/AFX1/FOXO4/MLLT7
NCOA2,BHLHE75/NCOA2/SRC2/TIF2
EFNA5,EFNA5/EPLG7/LERK7
PKM,OIP3/PK2/PK3/PKM/PKM2
TRIM25,EFP/RNF147/TRIM25/ZNF147
CSGALNACT1,CHGN/CSGALNACT1/GALNACT1/UNQ656/PRO1287
SOD2,hCG_34035/SOD2
TCP1,CCT1/CCTA/TCP1
TRIB3,C20orf97/NIPK/SKIP3/TRB3/TRIB3
ZNF268,ZNF268
YWHAB,YWHAB
NME2,hCG_2001850/NM23B/NME2
HOXA11,HOX1I/HOXA11
DYNC2H1,DHC1B/DHC2/DNCH2/DYH1B/DYNC2H1/KIAA1997
KIF3B,KIAA0359/KIF3B
SDC4,SDC4
GSTO1,GSTO1/GSTTLP28
ABCB6,ABCB6/MTABC3/PRP/UMAT
ATOH8,ATH6/ATOH8/BHLHA21
DDX6,DDX6/HLR2/RCK
PFKM,PFKM/PFKX
HLA-H,HLAH/HLA-H
KIF5A,KIF5A/NKHC1
PPIB,CYPB/PPIB
LMAN1,ERGIC53/F5F8D/LMAN1
KDM7A,JHDM1D/KDM7/KDM7A/KIAA1718
ANK1,ANK/ANK1
PARN,DAN/PARN
BRD7,BP75/BRD7/CELTIX1
TAF4,TAF2C/TAF2C1/TAF4/TAF4A/TAFII130/TAFII135
RLIM,RLIM/RNF12
EIF3A,EIF3A/EIF3S10/KIAA0139
PSMA6,PROS27/PSMA6
SMG6,C17orf31/EST1A/KIAA0732/SMG6
DNAJC10,DNAJC10/ERDJ5/UNQ495/PRO1012
TUBA1A,TUBA1A/TUBA3
HYOU1,GRP170/HYOU1/ORP150
USP15,KIAA0529/USP15
USP3,USP3
POLG,MDP1/POLG/POLG1/POLGA
ANXA7,ANX7/ANXA7/OK/SW-cl.95/SNX
ZHX2,AFR1/KIAA0854/RAF/ZHX2
SLC7A5,CD98LC/hCG_1789357/LAT1/MPE16/SLC7A5
HSD17B12,HSD17B12/SDR12C1
SNU13,NHP2L1/SNU13
SDC2,HSPG1/SDC2
TINF2,hCG_38254/TIN2/TINF2
RPS2,RPS2/RPS4
PELO,CGI-17/PELO
FOXD3,FOXD3/HFH2
TWF1,PTK9/TWF1
PCBP1,PCBP1
ZNF451,COASTER/KIAA0576/KIAA1702/ZNF451
CASP10,CASP10/MCH4
B3GALT6,B3GALT6
ZC3HAV1,PRO1677/ZC3HAV1/ZC3HDC2
NUBP1,NBP/NBP1/NUBP1
KYNU,KYNU
GALNT1,GALNT1
POFUT1,FUT12/KIAA0180/POFUT1
UGGT1,GT/UGCGL1/UGGT/UGGT1/UGT1/UGTR
TRNT1,CGI-47/TRNT1
MTCL1,CCDC165/KIAA0802/MTCL1/SOGA2
PGK1,MIG10/OK/SW-cl.110/PGK1/PGKA
NABP2,LP3587/NABP2/OBFC2B/SSB1
GCC2,GCC2/KIAA0336/RANBP2L4
STEAP4,STAMP2/STEAP4/TNFAIP9
LSM14A,C19orf13/FAM61A/LSM14A/RAP55/RAP55A
ZNF202,ZKSCAN10/ZNF202
UQCRC2,hCG_18625/UQCRC2
TXNRD3,TGR/TRXR3/TXNRD3
ATRAID,APR3/ATRAID/C2orf28/HSPC013/UNQ214/PRO240
PSMB6,LMPY/PSMB6/Y
KPNA1,KPNA1/RCH2
CEP55,C10orf3/CEP55/URCC6
FBXO11,FBX11/FBXO11/PRMT9/UG063H01/VIT1
ERI1,3'EXO/ERI1/THEX1
MIER1,KIAA1610/MIER1
THAP11,HRIHFB2206/THAP11
PSMF1,PSMF1
ZNF397,hCG_1811252/ZNF397/ZNF47/ZSCAN15
CP,CP
CCNE2,CCNE2/hCG_15054
ABRAXAS2,ABRAXAS2/ABRO1/FAM175B/KIAA0157
MCM8,C20orf154/MCM8
TCERG1,CA150/hCG_38116/TAF2S/TCERG1
DARS,DARS/PIG40
PTP4A1,PRL1/PTP4A1/PTPCAAX1
GABPB1,E4TF1B/GABPB/GABPB1/GABPB2/hCG_2002404
RPL36,RPL36
APOBEC3C,APOBEC1L/APOBEC3C/PBI
MARK3,CTAK1/EMK2/hCG_25498/MARK3
PDCD11,KIAA0185/PDCD11
METTL14,KIAA1627/METTL14
NFKBIL1,IKBL/NFKBIL1
HDLBP,HBP/hCG_33048/HDLBP/VGL
PAPSS2,ATPSK2/PAPSS2
ACSS2,ACAS2/ACSS2
SRRM2,HSPC075/KIAA0324/SRL300/SRM300/SRRM2
SLC25A32,MFT/MFTC/SLC25A32
ALPI,ALPI
AMOTL1,AMOTL1
PNPO,PNPO
MLKL,MLKL
ATG4A,APG4A/ATG4A/AUTL2/hCG_21686
MESD,KIAA0081/MESD/MESDC2/MESDM/UNQ1911/PRO4369
KCTD1,C18orf5/KCTD1
NUP210,KIAA0906/NUP210/PSEC0245
DNAJC6,DNAJC6/KIAA0473
TOMM70,KIAA0719/TOM70/TOMM70/TOMM70A
PPL,KIAA0568/PPL
ICE2,BRCC1/ICE2/NARG2/UNQ3101/PRO10100
TNPO2,TNPO2
FKBP10,FKBP10/FKBP65/PSEC0056
CNPY2,CNPY2/MSAP/TMEM4/UNQ1943/PRO4426/ZSIG9
ZNF711,CMPX1/ZNF6/ZNF711
EDC4,EDC4/HEDLS
EXOSC1,CGI-108/CSL4/EXOSC1
GLCE,GLCE/KIAA0836
SUMO2,SMT3B/SMT3H2/SUMO2
TXNDC12,TLP19/TXNDC12/UNQ713/PRO1376
RERG,RERG
ERGIC3,C20orf47/CGI-54/ERGIC3/ERV46/PRO0989/RP3-477O4.12-011/SDBCAG84
RNF25,RNF25
NADK,NADK
TMEM214,PP446/TMEM214
ADARB2,ADAR3/ADARB2/RED2
TBRG1,NIAM/TBRG1
RCN1,RCN/RCN1
IPO9,HSPC273/IMP9/IPO9/KIAA1192/RANBP9
CUTC,CGI-32/CUTC/hCG_18409
UBAP2L,KIAA0144/NICE4/UBAP2L
PPIC,CYPC/PPIC
LRR1,hCG_1640043/LRR1/PPIL5
PAIP1,PAIP1
NPM3,NPM3
FAM120A,C9orf10/FAM120A/KIAA0183/OSSA
RCN2,ERC55/RCN2
CENPI,CENPI/FSHPRH1/ICEN19/LRPR1
GLIS3,GLIS3/ZNF515
TAF1D,JOSD3/TAF1D
ZNF253,BMZF1/ZNF253/ZNF411
TBC1D15,TBC1D15
RANBP6,RANBP6
YRDC,DRIP3/IRIP/YRDC
FRMD4B,FRMD4B/GRSP1/KIAA1013
ENGASE,ENGASE
DDA1,C19orf58/DDA1/PCIA1
PLEKHA4,PEPP1/PLEKHA4
AVEN,AVEN
MBD6,KIAA1887/MBD6
TDRP,C8orf42/TDRP
SELENOF,SELENOF/SEP15
GKAP1,FKSG21/GKAP1/GKAP42
SCAF4,KIAA1172/SCAF4/SFRS15
R3HCC1L,C10orf28/GIDRP88/R3HCC1L
ZNF311,ZFP31/ZNF311
HOXD11,HOX4F/HOXD11
SSBP4,SSBP4
ZNF761,KIAA2033/ZNF761
GLI4,GLI4/HKR4
GLT8D1,AD-017/GALA4A/GLT8D1/MSTP137/UNQ572/PRO1134
ZNF786,ZNF786
ZNF497,ZNF497
ZNF691,ZNF691
RHOBTB1,KIAA0740/RHOBTB1
TUBE1,TUBE/TUBE1
GLOD4,C17orf25/CGI-150/GLOD4/My027
RPUSD2,C15orf19/RPUSD2
CMSS1,C3orf26/CMSS1
ZNF839,C14orf131/ZNF839
LZIC,LZIC
CCDC130,CCDC130/SB115
CCDC94,CCDC94
CT45A3,CT45-3/CT45-4/CT45A3/CT45A4
ZSWIM9,C19orf68/ZSWIM9
RNF219,C13orf7/RNF219
KIAA1211,KIAA1211
LBHD1,C11orf48/LBHD1
CT45A10,CT45A10
ATP5PO,ATP5PO
RTF2,RTF2
TENT4B,TENT4B
YJU2,YJU2
A8MZ25,
HNRNPA1P48,HNRNPA1P48
H3Y,H3Y
