Gene name (primary),Gene names (all)
RPL15,EC45/RPL15/TCBAP0781
HNRNPA2B1,HNRNPA2B1/HNRPA2B1
FRG1,FRG1
DTL,CDT2/CDW1/DCAF2/DTL/L2DTL/RAMP
CENPV,CENPV/PRR6
JADE3,JADE3/KIAA0215/PHF16
CHAF1A,CAF/CAF1P150/CHAF1A
HDGFL2,HDGF2/HDGFL2/HDGFRP2/HRP2/UNQ785/PRO1604
TMPO,hCG_2015322/LAP2/TMPO
IKZF5,IKZF5/ZNFN1A5
SNW1,SKIIP/SKIP/SNW1
SUB1,PC4/RPO2TC1/SUB1
NCL,NCL
IK,IK/RED/RER
EDF1,EDF1
CASC3,CASC3/MLN51
EHMT1,EHMT1/EUHMTASE1/GLP/KIAA1876/KMT1D
SERF2,FAM2C/SERF2
DDX54,DDX54
CHERP,CHERP/DAN26/SCAF6
RRP15,CGI-115/KIAA0507/RRP15
NOP16,CGI-117/HSPC111/NOP16
ZFP62,ZFP62
NIPBL,IDN3/NIPBL/SCC2
BAZ1A,ACF1/BAZ1A/HSPC317/WCRF180
KMT2A,ALL1/CXXC7/HRX/HTRX/KMT2A/MLL/MLL1/TRX1
ADNP,ADNP/ADNP1/KIAA0784
INCENP,INCENP
CHD7,CHD7/KIAA1416
KNOP1,C16orf88/FAM191A/KNOP1/TSG118
TSHZ2,C20orf17/hCG_1784586/TSH2/TSHZ2/ZNF218
TPX2,C20orf1/C20orf2/DIL2/HCA519/TPX2
CKAP2L,CKAP2L
EXOSC10,EXOSC10/PMSCL/PMSCL2/RRP6
BLM,BLM/RECQ2/RECQL3
C1orf174,C1orf174
GATAD2A,GATAD2A
SARNP,HCC1/HSPC316/SARNP
NSD1,ARA267/KMT3B/NSD1
MDC1,KIAA0170/MDC1/NFBD1
YTHDC1,KIAA1966/YT521/YTHDC1
MCM10,hCG_40780/MCM10/PRO2249
ARHGAP11A,ARHGAP11A/KIAA0013
SERBP1,CGI-55/PAIRBP1/SERBP1
BRD2,BRD2/KIAA9001/RING3
MAP7D1,KIAA1187/MAP7D1/PARCC1/PP2464/RPRC1
GTF2F1,GTF2F1/RAP74
HIRIP3,HIRIP3
GTSE1,GTSE1
MYBBP1A,MYBBP1A/P160
PIMREG,CATS/FAM64A/PIMREG/RCS1
CDK13,CDC2L/CDC2L5/CDK13/CHED/KIAA1791
MTF2,hCG_31944/MTF2/PCL2
CFDP1,BCNT/CENP-29/CFDP1
PAPD5,PAPD5
PCNP,hCG_2023069/PCNP
WDR46,BING4/C6orf11/FP221/WDR46
MBD4,MBD4/MED1
GNL2,GNL2/NGP1
DHX38,DDX38/DHX38/KIAA0224/PRP16
MORF4L2,KIAA0026/MORF4L2/MRGX
CHD8,CHD8/HELSNF1/KIAA1564
GTF2E2,GTF2E2/TF2E2
SAFB2,KIAA0138/SAFB2
PCF11,KIAA0824/PCF11
GPATCH4,GPATC4/GPATCH4
CDCA7L,CDCA7L/HR1/JPO2/R1
CCDC137,CCDC137/cPERP-B
HIST1H2BJ,H2BFR/HIST1H2BJ
BPTF,BPTF/FAC1/FALZ
DDX31,DDX31
RTF1,KIAA0252/RTF1
ECT2,ECT2
ZNF556,hCG_1748832/ZNF556
ZNF615,ZNF615
BRD3,BRD3/KIAA0043/RING3L
RRP36,C6orf153/HSPC253/RRP36
ASPM,ASPM/hCG_2039667/MCPH5
CUX1,CUTL1/CUX1
SPAST,ADPSP/FSP2/KIAA1083/SPAST/SPG4
ZNF644,KIAA1221/ZEP2/ZNF644
RIF1,RIF1
C19orf53,C19orf53/HSPC023
IWS1,IWS1/IWS1L
KDM2B,CXXC2/FBL10/FBXL10/JHDM1B/KDM2B/PCCX2
CALD1,CAD/CALD1/CDM
ZNF106,hCG_40432/SH3BP3/ZFP106/ZNF106/ZNF474
LIG1,LIG1
TICRR,C15orf42/TICRR
PRPF31,PRP31/PRPF31
CCDC59,BR22/CCDC59/HSPC128/TAP26
TEAD1,TCF13/TEAD1/TEF1
NOSIP,CGI-25/NOSIP
